Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0107787885	-0.053837774	-0.053837774	-0.053837774	-0.053837774	0	0	0	0	0	0	0	3
2	3	0	0.0215575771	-0.0807038243	-0.0672707992	-0.0807038243	-0.053837774	0.0134330252	0	0	0	0	0	0	3
3	4	0	0.0323363656	-0.105616971	-0.0800528563	-0.105616971	-0.053837774	0.0262150823	0	0	0	0	0	0	3
4	5	0	0.0431151542	-0.125632108	-0.0914476693	-0.125632108	-0.053837774	0.0376098952	0	0	0	0	0	0	3
5	5	0	0.0538939427	-0.13961333	-0.101080801	-0.13961333	-0.053837774	0.0472430273	0	0	0	0	0	0	3
6	6	0	0.0646727312	-0.14909838	-0.109083731	-0.14909838	-0.053837774	0.0552459571	0	0	0	0	0	0	3
7	6	0	0.0754515198	-0.150554941	-0.11500819	-0.150554941	-0.053837774	0.0611704157	0	0	0	0	0	0	3
8	7	0	0.0862303083	-0.141744424	-0.118350219	-0.150554941	-0.053837774	0.0645124449	0	0	0	0	0	0	3
9	8	0	0.0970090969	-0.129106328	-0.119545342	-0.150554941	-0.053837774	0.0657075681	0	0	0	0	0	0	3
10	8	0	0.107787885	-0.117739315	-0.119364739	-0.150554941	-0.053837774	0.0657075681	0	0	0	0	0	0	3
11	9	0	0.118566674	-0.104544937	-0.118017485	-0.150554941	-0.053837774	0.0657075681	0	0	0	0	0	0	3
12	9	0	0.129345462	-0.0935937218	-0.115982171	-0.150554941	-0.053837774	0.0657075681	0	0	0	0	0	0	3
13	10	0	0.140124251	-0.0894066286	-0.113937899	-0.150554941	-0.053837774	0.0657075681	0	0	0	0	0	0	3
14	11	0	0.15090304	-0.0851698282	-0.111883036	-0.150554941	-0.053837774	0.0657075681	0	0	0	0	0	0	3
15	11	0	0.161681828	-0.081626798	-0.109865954	-0.150554941	-0.053837774	0.0657075681	0	0	0	0	0	0	3
16	12	0	0.172460617	-0.0784499974	-0.107902457	-0.150554941	-0.053837774	0.0657075681	0	0	0	0	0	0	3
17	13	0	0.183239405	-0.07469369	-0.105949	-0.150554941	-0.053837774	0.0657075681	0	0	0	0	0	0	3
18	13	0	0.194018194	-0.0710225481	-0.104008641	-0.150554941	-0.053837774	0.0657075681	0	0	0	0	0	0	3
19	14	0	0.204796982	-0.0677442639	-0.10209999	-0.150554941	-0.053837774	0.0657075681	0	0	0	0	0	0	3
20	15	0	0.215575771	-0.0648983814	-0.100239909	-0.150554941	-0.053837774	0.0657075681	0	0	0	0	0	0	3
21	15	0	0.226354559	-0.0624481192	-0.0984403004	-0.150554941	-0.053837774	0.0657075681	0	0	0	0	0	0	3
22	16	0	0.237133348	-0.0599506239	-0.0966907696	-0.150554941	-0.053837774	0.0657075681	0	0	0	0	0	0	3
23	16	0	0.247912136	-0.0577124489	-0.09499606	-0.150554941	-0.053837774	0.0657075681	0	0	0	0	0	0	3
24	17	0	0.258690925	-0.055879443	-0.093366201	-0.150554941	-0.053837774	0.0657075681	0	0	0	0	0	0	3
25	18	0	0.269469714	-0.0542734991	-0.0918024929	-0.150554941	-0.053837774	0.0657075681	0	0	0	0	0	0	3
26	18	0	0.280248502	-0.0528214726	-0.0903032229	-0.150554941	-0.0528214726	0.0657075681	0	0	0	0	0	0	3
27	19	0	0.291027291	-0.0509098225	-0.0888442081	-0.150554941	-0.0509098225	0.0657075681	0	0	0	0	0	0	3
