Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0107787885	-611.816502	-611.816502	-611.816502	-611.816502	0	0	0	0	0	0	0	3
2	3	0	0.0215575771	-917.124313	-764.470407	-917.124313	-611.816502	152.653905	0	0	0	0	0	0	3
3	4	0	0.0323363656	-1200.23918	-909.726663	-1200.23918	-611.816502	297.910162	0	0	0	0	0	0	3
4	5	0	0.0431151542	-1427.6927	-1039.21817	-1427.6927	-611.816502	427.40167	0	0	0	0	0	0	3
5	5	0	0.0538939427	-1586.57635	-1148.68981	-1586.57635	-611.816502	536.873306	0	0	0	0	0	0	3
6	6	0	0.0646727312	-1694.36517	-1239.6357	-1694.36517	-611.816502	627.8192	0	0	0	0	0	0	3
7	6	0	0.0754515198	-1710.91765	-1306.96169	-1710.91765	-611.816502	695.145192	0	0	0	0	0	0	3
8	7	0	0.0862303083	-1610.79426	-1344.94076	-1710.91765	-611.816502	733.124263	0	0	0	0	0	0	3
9	8	0	0.0970090969	-1467.17399	-1358.52223	-1710.91765	-611.816502	746.705732	0	0	0	0	0	0	3
10	8	0	0.107787885	-1337.99841	-1356.46985	-1710.91765	-611.816502	746.705732	0	0	0	0	0	0	3
11	9	0	0.118566674	-1188.0565	-1341.15955	-1710.91765	-611.816502	746.705732	0	0	0	0	0	0	3
12	9	0	0.129345462	-1063.60607	-1318.03009	-1710.91765	-611.816502	746.705732	0	0	0	0	0	0	3
13	10	0	0.140124251	-1016.02363	-1294.79882	-1710.91765	-611.816502	746.705732	0	0	0	0	0	0	3
14	11	0	0.15090304	-967.876315	-1271.44722	-1710.91765	-611.816502	746.705732	0	0	0	0	0	0	3
15	11	0	0.161681828	-927.613055	-1248.52494	-1710.91765	-611.816502	746.705732	0	0	0	0	0	0	3
16	12	0	0.172460617	-891.511655	-1226.21161	-1710.91765	-611.816502	746.705732	0	0	0	0	0	0	3
17	13	0	0.183239405	-848.824695	-1204.01238	-1710.91765	-611.816502	746.705732	0	0	0	0	0	0	3
18	13	0	0.194018194	-807.105563	-1181.962	-1710.91765	-611.816502	746.705732	0	0	0	0	0	0	3
19	14	0	0.204796982	-769.850896	-1160.27194	-1710.91765	-611.816502	746.705732	0	0	0	0	0	0	3
20	15	0	0.215575771	-737.510073	-1139.13385	-1710.91765	-611.816502	746.705732	0	0	0	0	0	0	3
21	15	0	0.226354559	-709.66511	-1118.68296	-1710.91765	-611.816502	746.705732	0	0	0	0	0	0	3
22	16	0	0.237133348	-681.283387	-1098.80116	-1710.91765	-611.816502	746.705732	0	0	0	0	0	0	3
23	16	0	0.247912136	-655.848598	-1079.54235	-1710.91765	-611.816502	746.705732	0	0	0	0	0	0	3
24	17	0	0.258690925	-635.018181	-1061.02051	-1710.91765	-611.816502	746.705732	0	0	0	0	0	0	3
25	18	0	0.269469714	-616.768114	-1043.25041	-1710.91765	-611.816502	746.705732	0	0	0	0	0	0	3
26	18	0	0.280248502	-600.267177	-1026.2126	-1710.91765	-600.267177	746.705732	0	0	0	0	0	0	3
27	19	0	0.291027291	-578.543041	-1009.63224	-1710.91765	-578.543041	746.705732	0	0	0	0	0	0	3
28	19	0	0.301806079	-557.448395	-993.482821	-1710.91765	-557.448395	746.705732	0	0	0	0	0	0	3
29	20	0	0.312584868	-537.743221	-977.767662	-1710.91765	-537.743221	746.705732	0	0	0	0	0	0	3
30	20	0	0.323363656	-521.948888	-962.573703	-1710.91765	-521.948888	746.705732	0	0	0	0	0	0	3
