Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0107787885	0	0	0	0	0	0	0	0	0	0	0	3
2	3	0	0.0215575771	0	0	0	0	0	0	0	0	0	0	0	3
3	4	0	0.0323363656	0	0	0	0	0	0	0	0	0	0	0	3
4	5	0	0.0431151542	0	0	0	0	0	0	0	0	0	0	0	3
5	5	0	0.0538939427	0	0	0	0	0	0	0	0	0	0	0	3
6	6	0	0.0646727312	0	0	0	0	0	0	0	0	0	0	0	3
7	6	0	0.0754515198	0	0	0	0	0	0	0	0	0	0	0	3
8	7	0	0.0862303083	0	0	0	0	0	0	0	0	0	0	0	3
9	8	0	0.0970090969	0	0	0	0	0	0	0	0	0	0	0	3
10	8	0	0.107787885	0	0	0	0	0	0	0	0	0	0	0	3
11	9	0	0.118566674	0	0	0	0	0	0	0	0	0	0	0	3
12	9	0	0.129345462	0	0	0	0	0	0	0	0	0	0	0	3
13	10	0	0.140124251	0	0	0	0	0	0	0	0	0	0	0	3
14	11	0	0.15090304	0	0	0	0	0	0	0	0	0	0	0	3
15	11	0	0.161681828	0	0	0	0	0	0	0	0	0	0	0	3
16	12	0	0.172460617	0	0	0	0	0	0	0	0	0	0	0	3
17	13	0	0.183239405	0	0	0	0	0	0	0	0	0	0	0	3
18	13	0	0.194018194	0	0	0	0	0	0	0	0	0	0	0	3
19	14	0	0.204796982	0	0	0	0	0	0	0	0	0	0	0	3
20	15	0	0.215575771	0	0	0	0	0	0	0	0	0	0	0	3
21	15	0	0.226354559	0	0	0	0	0	0	0	0	0	0	0	3
22	16	0	0.237133348	0	0	0	0	0	0	0	0	0	0	0	3
23	16	0	0.247912136	0	0	0	0	0	0	0	0	0	0	0	3
24	17	0	0.258690925	0	0	0	0	0	0	0	0	0	0	0	3
25	18	0	0.269469714	0	0	0	0	0	0	0	0	0	0	0	3
26	18	0	0.280248502	0	0	0	0	0	0	0	0	0	0	0	3
27	19	0	0.291027291	0	0	0	0	0	0	0	0	0	0	0	3
28	19	0	0.301806079	0	0	0	0	0	0	0	0	0	0	0	3
29	20	0	0.312584868	0	0	0	0	0	0	0	0	0	0	0	3
30	20	0	0.323363656	0	0	0	0	0	0	0	0	0	0	0	3
31	21	0	0.334142445	0	0	0	0	0	0	0	0	0	0	0	3
32	21	0	0.344921233	0	0	0	0	0	0	0	0	0	0	0	3
33	22	0	0.355700022	0	0	0	0	0	0	0	0	0	0	0	3
34	23	0	0.36647881	0	0	0	0	0	0	0	0	0	0	0	3
35	23	0	0.377257599	0	0	0	0	0	0	0	0	0	0	0	3
36	24	0	0.388036387	0	0	0	0	0	0	0	0	0	0	0	3
37	24	0	0.398815176	0	0	0	0	0	0	0	0	0	0	0	3
38	25	0	0.409593965	0	0	0	0	0	0	0	0	0	0	0	3
39	25	0	0.420372753	0	0	0	0	0	0	0	0	0	0	0	3
40	26	0	0.431151542	0	0	0	0	0	0	0	0	0	0	0	3
41	26	0	0.44193033	0	0	0	0	0	0	0	0	0	0	0	3
42	27	0	0.452709119	0	0	0	0	0	0	0	0	0	0	0	3
43	27	0	0.463487907	0	0	0	0	0	0	0	0	0	0	0	3
44	28	0	0.474266696	0	0	0	0	0	0	0	0	0	0	0	3
45	29	0	0.485045484	0	0	0	0	0	0	0	0	0	0	0	3
46	29	0	0.495824273	0	0	0	0	0	0	0	0	0	0	0	3
47	30	0	0.506603061	0	0	0	0	0	0	0	0	0	0	0	3
48	30	0	0.51738185	0	0	0	0	0	0	0	0	0	0	0	3
49	31	0	0.528160638	0	0	0	0	0	0	0	0	0	0	0	3
50	31	0	0.538939427	0	0	0	0	0	0	0	0	0	0	0	3
51	32	0	0.549718216	0	0	0	0	0	0	0	0	0	0	0	3
52	32	0	0.560497004	0	0	0	0	0	0	0	0	0	0	0	3
53	33	0	0.571275793	0	0	0	0	0	0	0	0	0	0	0	3
54	33	0	0.582054581	0	0	0	0	0	0	0	0	0	0	0	3
55	34	0	0.59283337	0	0	0	0	0	0	0	0	0	0	0	3
56	34	0	0.603612158	0	0	0	0	0	0	0	0	0	0	0	3
57	35	0	0.614390947	0	0	0	0	0	0	0	0	0	0	0	3
58	35	0	0.625169735	0	0	0	0	0	0	0	0	0	0	0	3
59	36	0	0.635948524	0	0	0	0	0	0	0	0	0	0	0	3
60	36	0	0.646727312	0	0	0	0	0	0	0	0	0	0	0	3
61	37	0	0.657506101	0	0	0	0	0	0	0	0	0	0	0	3
62	37	0	0.66828489	0	0	0	0	0	0	0	0	0	0	0	3
63	38	0	0.679063678	0	0	0	0	0	0	0	0	0	0	0	3
64	38	0	0.689842467	0	0	0	0	0	0	0	0	0	0	0	3
65	39	0	0.700621255	0	0	0	0	0	0	0	0	0	0	0	3
66	39	0	0.711400044	0	0	0	0	0	0	0	0	0	0	0	3
67	40	0	0.722178832	0	0	0	0	0	0	0	0	0	0	0	3
68	40	0	0.732957621	0	0	0	0	0	0	0	0	0	0	0	3
69	41	0	0.743736409	0	0	0	0	0	0	0	0	0	0	0	3
70	41	0	0.754515198	0	0	0	0	0	0	0	0	0	0	0	3
71	42	0	0.765293986	0	0	0	0	0	0	0	0	0	0	0	3
72	43	0	0.776072775	0	0	0	0	0	0	0	0	0	0	0	3
73	43	0	0.786851563	0	0	0	0	0	0	0	0	0	0	0	3
74	44	0	0.797630352	0	0	0	0	0	0	0	0	0	0	0	3
75	44	0	0.808409141	0	0	0	0	0	0	0	0	0	0	0	3
76	45	0	0.819187929	0	0	0	0	0	0	0	0	0	0	0	3
77	45	0	0.829966718	0	0	0	0	0	0	0	0	0	0	0	3
78	46	0	0.840745506	0	0	0	0	0	0	0	0	0	0	0	3
79	46	0	0.851524295	0	0	0	0	0	0	0	0	0	0	0	3
80	47	0	0.862303083	0	0	0	0	0	0	0	0	0	0	0	3
81	47	0	0.873081872	0	0	0	0	0	0	0	0	0	0	0	3
82	48	0	0.88386066	0	0	0	0	0	0	0	0	0	0	0	3
83	48	0	0.894639449	0	0	0	0	0	0	0	0	0	0	0	3
84	49	0	0.905418237	0	0	0	0	0	0	0	0	0	0	0	3
85	49	0	0.916197026	0	0	0	0	0	0	0	0	0	0	0	3
86	49	0	0.926975814	0	0	0	0	0	0	0	0	0	0	0	3
87	50	0	0.937754603	0	0	0	0	0	0	0	0	0	0	0	3
88	50	0	0.948533392	0	0	0	0	0	0	0	0	0	0	0	3
89	51	0	0.95931218	0	0	0	0	0	0	0	0	0	0	0	3
90	51	0	0.970090969	0	0	0	0	0	0	0	0	0	0	0	3
91	52	0	0.980869757	0	0	0	0	0	0	0	0	0	0	0	3
92	52	0	0.991648546	0	0	0	0	0	0	0	0	0	0	0	3
93	53	0	1.00242733	0	0	0	0	0	0.001	0	0	0	0	0	3
