Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0107787885	101325.993	101325.993	101325.993	101325.993	0	0	0	0	16318.6	0	0	3
2	3	0	0.0215575771	101326.492	101326.243	101325.993	101326.492	0.249489554	0	0	0	33579.7	0	0	3
3	4	0	0.0323363656	101326.51	101326.332	101325.993	101326.51	0.338658249	0	0	0	49877.7	0	0	3
4	5	0	0.0431151542	101326.145	101326.285	101325.993	101326.51	0.338658249	0	0	0	69072.5	0	0	3
5	5	0	0.0538939427	101325.609	101326.15	101325.609	101326.51	0.338658249	0	0	0	87181.8	0	0	3
6	6	0	0.0646727312	101326.241	101326.165	101325.609	101326.51	0.338658249	0	0	0	104077	0	0	3
7	6	0	0.0754515198	101328.845	101326.548	101325.609	101328.845	0.554548709	0	0	0	108319	0	0	3
8	7	0	0.0862303083	101333.075	101327.364	101325.609	101333.075	1.37041801	0	0	0	101231	0	0	3
9	8	0	0.0970090969	101337.766	101328.52	101325.609	101337.766	2.52625954	0	0	0	90733.5	0	0	3
10	8	0	0.107787885	101342.126	101329.88	101325.609	101342.126	3.88694119	0	0	0	81015.9	0	0	3
11	9	0	0.118566674	101346.985	101331.435	101325.609	101346.985	5.44189461	0	0	0	69771.1	0	0	3
12	9	0	0.129345462	101350.521	101333.026	101325.609	101350.521	7.03235976	0	0	0	61671.4	0	0	3
13	10	0	0.140124251	101353.01	101334.563	101325.609	101353.01	8.56964334	0	0	0	58245.2	0	0	3
14	11	0	0.15090304	101355.539	101336.061	101325.609	101355.539	10.0679097	0	0	0	57116.8	0	0	3
15	11	0	0.161681828	101358.483	101337.556	101325.609	101358.483	11.562677	0	0	0	56125	0	0	3
16	12	0	0.172460617	101364.288	101339.227	101325.609	101364.288	13.2334153	0	0	0	55168	0	0	3
17	13	0	0.183239405	101368.332	101340.939	101325.609	101368.332	14.9455045	0	0	0	54504.3	0	0	3
18	13	0	0.194018194	101366.884	101342.38	101325.609	101368.332	16.3868998	0	0	0	54274.7	0	0	3
19	14	0	0.204796982	101357.362	101343.169	101325.609	101368.332	17.1754132	0	0	0	53722	0	0	3
20	15	0	0.215575771	101339.395	101342.98	101325.609	101368.332	17.1754132	0	0	0	53405.4	0	0	3
21	15	0	0.226354559	101299.346	101340.902	101299.346	101368.332	17.1754132	0	0	0	52833.9	0	0	3
22	16	0	0.237133348	101257.488	101337.111	101257.488	101368.332	17.1754132	0	0	0	52428.6	0	0	3
23	16	0	0.247912136	101223.142	101332.156	101223.142	101368.332	17.1754132	0	0	0	51834.8	0	0	3
24	17	0	0.258690925	101201.414	101326.708	101201.414	101368.332	17.1754132	0	0	0	52121.4	0	0	3
25	18	0	0.269469714	101193.53	101321.381	101193.53	101368.332	21.7879161	0	0	0	51791.5	0	0	3
26	18	0	0.280248502	101202.615	101316.813	101193.53	101368.332	26.3558483	0	0	0	52103.7	0	0	3
27	19	0	0.291027291	101230.975	101313.634	101193.53	101368.332	29.5350392	0	0	0	52190.5	0	0	3
28	19	0	0.301806079	101273.744	101312.209	101193.53	101368.332	30.9596615	0	0	0	52501.2	0	0	3
29	20	0	0.312584868	101321.832	101312.541	101193.53	101368.332	30.9596615	0	0	0	52558.9	0	0	3
30	20	0	0.323363656	101366.145	101314.328	101193.53	101368.332	30.9596615	0	0	0	52638.9	0	0	3
31	21	0	0.334142445	101403.791	101317.214	101193.53	101403.791	30.9596615	0	0	0	52528.7	0	0	3
32	21	0	0.344921233	101409.884	101320.11	101193.53	101409.884	30.9596615	0	0	0	52413.9	0	0	3
33	22	0	0.355700022	101392.607	101322.306	101193.53	101409.884	30.9596615	0	0	0	52195.8	0	0	3
34	23	0	0.36647881	101365.691	101323.582	101193.53	101409.884	30.9596615	0	0	0	52063.8	0	0	3
35	23	0	0.377257599	101339.982	101324.051	101193.53	101409.884	30.9596615	0	0	0	51856	0	0	3
36	24	0	0.388036387	101319.805	101323.933	101193.53	101409.884	30.9596615	0	0	0	51737	0	0	3
37	24	0	0.398815176	101313.377	101323.648	101193.53	101409.884	30.9596615	0	0	0	51580.1	0	0	3
38	25	0	0.409593965	101315.048	101323.422	101193.53	101409.884	30.9596615	0	0	0	51524.2	0	0	3
39	25	0	0.420372753	101319.579	101323.323	101193.53	101409.884	30.9596615	0	0	0	51483.7	0	0	3
40	26	0	0.431151542	101323.65	101323.331	101193.53	101409.884	30.9596615	0	0	0	51462.8	0	0	3
41	26	0	0.44193033	101326.309	101323.404	101193.53	101409.884	30.9596615	0	0	0	51345.9	0	0	3
42	27	0	0.452709119	101326.193	101323.47	101193.53	101409.884	30.9596615	0	0	0	51262.5	0	0	3
43	27	0	0.463487907	101325.097	101323.508	101193.53	101409.884	30.9596615	0	0	0	51148.1	0	0	3
44	28	0	0.474266696	101323.61	101323.51	101193.53	101409.884	30.9596615	0	0	0	51127.1	0	0	3
45	29	0	0.485045484	101322.156	101323.48	101193.53	101409.884	30.9596615	0	0	0	51090.2	0	0	3
46	29	0	0.495824273	101320.921	101323.425	101193.53	101409.884	30.9596615	0	0	0	51078	0	0	3
47	30	0	0.506603061	101320.047	101323.353	101193.53	101409.884	30.9596615	0	0	0	51004.6	0	0	3
48	30	0	0.51738185	101319.537	101323.215	101193.53	101409.884	30.9596615	0	0	0	51001.7	0	0	3
49	31	0	0.528160638	101319.411	101323.065	101193.53	101409.884	30.9596615	0	0	0	50977.8	0	0	3
50	31	0	0.538939427	101319.548	101322.917	101193.53	101409.884	30.9596615	0	0	0	50986	0	0	3
51	32	0	0.549718216	101319.893	101322.784	101193.53	101409.884	30.9596615	0	0	0	50966.3	0	0	3
52	32	0	0.560497004	101320.37	101322.672	101193.53	101409.884	30.9596615	0	0	0	50965.2	0	0	3
53	33	0	0.571275793	101320.923	101322.559	101193.53	101409.884	30.9596615	0	0	0	50916.9	0	0	3
54	33	0	0.582054581	101321.499	101322.403	101193.53	101409.884	30.9596615	0	0	0	50885.7	0	0	3
55	34	0	0.59283337	101322.108	101322.169	101193.53	101409.884	30.9596615	0	0	0	50840	0	0	3
56	34	0	0.603612158	101322.689	101321.849	101193.53	101409.884	30.9596615	0	0	0	50836.2	0	0	3
57	35	0	0.614390947	101323.241	101321.447	101193.53	101409.884	30.9596615	0	0	0	50820.5	0	0	3
58	35	0	0.625169735	101323.746	101320.952	101193.53	101409.884	30.9596615	0	0	0	50862.4	0	0	3
59	36	0	0.635948524	101324.191	101320.392	101193.53	101409.884	30.9596615	0	0	0	50880.7	0	0	3
60	36	0	0.646727312	101324.564	101319.787	101193.53	101409.884	30.9596615	0	0	0	50928.4	0	0	3
61	37	0	0.657506101	101324.843	101319.134	101193.53	101409.884	30.9596615	0	0	0	50925.2	0	0	3
62	37	0	0.66828489	101325.035	101318.422	101193.53	101409.884	30.9596615	0	0	0	50948.7	0	0	3
63	38	0	0.679063678	101325.156	101317.59	101193.53	101409.884	30.9596615	0	0	0	50932.3	0	0	3
64	38	0	0.689842467	101325.185	101316.671	101193.53	101409.884	30.9596615	0	0	0	50948.2	0	0	3
65	39	0	0.700621255	101325.175	101315.784	101193.53	101409.884	30.9596615	0	0	0	50910.6	0	0	3
66	39	0	0.711400044	101325.121	101315.098	101193.53	101409.884	30.7709624	0	0	0	50905.2	0	0	3
67	40	0	0.722178832	101325.05	101314.793	101193.53	101409.884	28.6931482	0	0	0	50850.5	0	0	3
68	40	0	0.732957621	101324.961	101315.338	101193.53	101409.884	24.9015914	0	0	0	50840.9	0	0	3
69	41	0	0.743736409	101324.871	101316.772	101193.53	101409.884	19.9464409	0	0	0	50797.1	0	0	3
70	41	0	0.754515198	101324.783	101318.934	101193.53	101409.884	14.4988655	0	0	0	50817.9	0	0	3
71	42	0	0.765293986	101324.702	101321.557	101193.53	101409.884	11.8419739	0	0	0	50836.6	0	0	3
72	43	0	0.776072775	101324.628	101324.347	101202.615	101409.884	12.1375201	0	0	0	50909.6	0	0	3
73	43	0	0.786851563	101324.573	101326.941	101230.975	101409.884	14.7323789	0	0	0	50955.7	0	0	3
74	44	0	0.797630352	101324.536	101328.932	101273.744	101409.884	16.7230491	0	0	0	51030.8	0	0	3
75	44	0	0.808409141	101324.522	101330.012	101313.377	101409.884	17.4715821	0	0	0	51046.6	0	0	3
76	45	0	0.819187929	101324.524	101330.07	101313.377	101409.884	15.7420409	0	0	0	51041.6	0	0	3
77	45	0	0.829966718	101324.553	101329.185	101313.377	101409.884	15.2768822	0	0	0	50998.5	0	0	3
78	46	0	0.840745506	101324.596	101327.5	101313.377	101409.884	15.2768822	0	0	0	50979.6	0	0	3
