Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0107787885	293.214236	293.214236	293.214236	293.214236	0	0	0	0	42.6105	0	0	3
2	3	0	0.0215575771	293.228229	293.221233	293.214236	293.228229	0.00699660507	0	0	0	42.9463	0	0	3
3	4	0	0.0323363656	293.241472	293.227979	293.214236	293.241472	0.0137431207	0	0	0	44.0473	0	0	3
4	5	0	0.0431151542	293.253368	293.234326	293.214236	293.253368	0.0200902556	0	0	0	46.2681	0	0	3
5	5	0	0.0538939427	293.264273	293.240316	293.214236	293.264273	0.0260796375	0	0	0	48.827	0	0	3
6	6	0	0.0646727312	293.280323	293.246984	293.214236	293.280323	0.0327475037	0	0	0	53.2625	0	0	3
7	6	0	0.0754515198	293.297614	293.254217	293.214236	293.297614	0.0399803577	0	0	0	57.6235	0	0	3
8	7	0	0.0862303083	293.314221	293.261717	293.214236	293.314221	0.0474809401	0	0	0	58.8939	0	0	3
9	8	0	0.0970090969	293.329413	293.269239	293.214236	293.329413	0.0550026965	0	0	0	58.3145	0	0	3
10	8	0	0.107787885	293.343232	293.276638	293.214236	293.343232	0.0624019579	0	0	0	58.8109	0	0	3
11	9	0	0.118566674	293.360258	293.28424	293.214236	293.360258	0.0700037367	0	0	0	58.536	0	0	3
12	9	0	0.129345462	293.375315	293.29183	293.214236	293.375315	0.0775933056	0	0	0	59.11	0	0	3
13	10	0	0.140124251	293.389196	293.299319	293.214236	293.389196	0.0850830232	0	0	0	58.6229	0	0	3
14	11	0	0.15090304	293.40212	293.306662	293.214236	293.40212	0.092425968	0	0	0	58.8475	0	0	3
15	11	0	0.161681828	293.413982	293.313817	293.214236	293.413982	0.0995806508	0	0	0	58.7667	0	0	3
16	12	0	0.172460617	293.428169	293.320964	293.214236	293.428169	0.10672766	0	0	0	58.1925	0	0	3
17	13	0	0.183239405	293.437993	293.327848	293.214236	293.437993	0.113611706	0	0	0	57.6804	0	0	3
18	13	0	0.194018194	293.44292	293.334241	293.214236	293.44292	0.120004582	0	0	0	57.4873	0	0	3
19	14	0	0.204796982	293.443527	293.339993	293.214236	293.443527	0.125756488	0	0	0	56.9922	0	0	3
20	15	0	0.215575771	293.441296	293.345058	293.214236	293.443527	0.130821655	0	0	0	57.3217	0	0	3
21	15	0	0.226354559	293.433502	293.349269	293.214236	293.443527	0.135033256	0	0	0	57.0931	0	0	3
22	16	0	0.237133348	293.431101	293.352989	293.214236	293.443527	0.138752872	0	0	0	55.2731	0	0	3
23	16	0	0.247912136	293.435634	293.356582	293.214236	293.443527	0.142346148	0	0	0	54.7105	0	0	3
24	17	0	0.258690925	293.44635	293.360323	293.214236	293.44635	0.146086464	0	0	0	54.6169	0	0	3
25	18	0	0.269469714	293.461327	293.364363	293.214236	293.461327	0.150126629	0	0	0	54.4972	0	0	3
26	18	0	0.280248502	293.490021	293.369196	293.214236	293.490021	0.154959644	0	0	0	54.1206	0	0	3
27	19	0	0.291027291	293.51981	293.374774	293.214236	293.51981	0.160537942	0	0	0	54.0733	0	0	3
28	19	0	0.301806079	293.549122	293.381001	293.214236	293.549122	0.166764645	0	0	0	54.0801	0	0	3
29	20	0	0.312584868	293.57489	293.387687	293.214236	293.57489	0.173450472	0	0	0	54.1198	0	0	3
30	20	0	0.323363656	293.594565	293.394583	293.214236	293.594565	0.180346428	0	0	0	54.1928	0	0	3
31	21	0	0.334142445	293.609892	293.401528	293.214236	293.609892	0.187291884	0	0	0	54.1893	0	0	3
32	21	0	0.344921233	293.611525	293.408091	293.214236	293.611525	0.193854282	0	0	0	54.0232	0	0	3
33	22	0	0.355700022	293.605559	293.414074	293.214236	293.611525	0.199838188	0	0	0	53.8658	0	0	3
34	23	0	0.36647881	293.598473	293.419498	293.214236	293.611525	0.205261662	0	0	0	53.6395	0	0	3
35	23	0	0.377257599	293.593623	293.424473	293.214236	293.611525	0.210236651	0	0	0	53.4221	0	0	3
36	24	0	0.388036387	293.592672	293.429145	293.214236	293.611525	0.214908839	0	0	0	53.2046	0	0	3
37	24	0	0.398815176	293.596312	293.433663	293.214236	293.611525	0.219426874	0	0	0	52.9918	0	0	3
38	25	0	0.409593965	293.602349	293.438102	293.214236	293.611525	0.223865987	0	0	0	52.8105	0	0	3
39	25	0	0.420372753	293.608745	293.442478	293.214236	293.611525	0.228241455	0	0	0	52.677	0	0	3
40	26	0	0.431151542	293.614152	293.44677	293.214236	293.614152	0.232533316	0	0	0	52.6442	0	0	3
41	26	0	0.44193033	293.619494	293.450982	293.214236	293.619494	0.236746109	0	0	0	52.6093	0	0	3
42	27	0	0.452709119	293.622399	293.455064	293.214236	293.622399	0.240827467	0	0	0	52.5956	0	0	3
43	27	0	0.463487907	293.623959	293.458992	293.214236	293.623959	0.244755271	0	0	0	52.575	0	0	3
44	28	0	0.474266696	293.624666	293.462757	293.214236	293.624666	0.2485206	0	0	0	52.5793	0	0	3
45	29	0	0.485045484	293.624992	293.466362	293.214236	293.624992	0.252125815	0	0	0	52.5854	0	0	3
46	29	0	0.495824273	293.625315	293.469818	293.214236	293.625315	0.255581316	0	0	0	52.5899	0	0	3
47	30	0	0.506603061	293.625689	293.473134	293.214236	293.625689	0.258897737	0	0	0	52.5767	0	0	3
48	30	0	0.51738185	293.626208	293.481899	293.228229	293.626208	0.260666488	0	0	0	52.5591	0	0	3
49	31	0	0.528160638	293.626902	293.490382	293.241472	293.626902	0.262402375	0	0	0	52.5239	0	0	3
50	31	0	0.538939427	293.627714	293.4986	293.253368	293.627714	0.264273142	0	0	0	52.4883	0	0	3
51	32	0	0.549718216	293.628632	293.506584	293.264273	293.628632	0.266268093	0	0	0	52.4867	0	0	3
52	32	0	0.560497004	293.629583	293.514357	293.280323	293.629583	0.267372776	0	0	0	52.4786	0	0	3
53	33	0	0.571275793	293.630518	293.521807	293.297614	293.630518	0.267590869	0	0	0	52.482	0	0	3
54	33	0	0.582054581	293.631444	293.52891	293.314221	293.631444	0.267193066	0	0	0	52.477	0	0	3
55	34	0	0.59283337	293.632332	293.535679	293.329413	293.632332	0.266439633	0	0	0	52.4973	0	0	3
56	34	0	0.603612158	293.633178	293.542142	293.343232	293.633178	0.265503462	0	0	0	52.4949	0	0	3
57	35	0	0.614390947	293.633939	293.548327	293.360258	293.633939	0.264086954	0	0	0	52.5049	0	0	3
58	35	0	0.625169735	293.634629	293.554165	293.375315	293.634629	0.259314588	0	0	0	52.4951	0	0	3
59	36	0	0.635948524	293.63522	293.559695	293.389196	293.63522	0.246024624	0	0	0	52.4851	0	0	3
60	36	0	0.646727312	293.635724	293.56494	293.40212	293.635724	0.233603354	0	0	0	52.4959	0	0	3
61	37	0	0.657506101	293.63611	293.569918	293.413982	293.63611	0.222127771	0	0	0	52.5026	0	0	3
62	37	0	0.66828489	293.636392	293.57465	293.428169	293.636392	0.20822308	0	0	0	52.5445	0	0	3
63	38	0	0.679063678	293.63658	293.579085	293.431101	293.63658	0.20547851	0	0	0	52.5555	0	0	3
64	38	0	0.689842467	293.636675	293.583312	293.431101	293.636675	0.205573844	0	0	0	52.5695	0	0	3
65	39	0	0.700621255	293.636694	293.587435	293.431101	293.636694	0.205592806	0	0	0	52.538	0	0	3
66	39	0	0.711400044	293.636677	293.591544	293.431101	293.636694	0.205592806	0	0	0	52.5244	0	0	3
67	40	0	0.722178832	293.636614	293.5957	293.431101	293.636694	0.205592806	0	0	0	52.487	0	0	3
68	40	0	0.732957621	293.636534	293.60002	293.431101	293.636694	0.205592806	0	0	0	52.4915	0	0	3
69	41	0	0.743736409	293.636438	293.604389	293.435634	293.636694	0.201059382	0	0	0	52.4969	0	0	3
70	41	0	0.754515198	293.636339	293.608659	293.44635	293.636694	0.190343888	0	0	0	52.5092	0	0	3
71	42	0	0.765293986	293.636255	293.6127	293.461327	293.636694	0.175367008	0	0	0	52.5153	0	0	3
72	43	0	0.776072775	293.636193	293.61642	293.490021	293.636694	0.146672576	0	0	0	52.5358	0	0	3
73	43	0	0.786851563	293.636147	293.619529	293.51981	293.636694	0.116883921	0	0	0	52.5342	0	0	3
