Iteration	CPUTime	PhysTime	Travels
1	3	0	0.0107787885
2	3	0	0.0215575771
3	4	0	0.0323363656
4	5	0	0.0431151542
5	5	0	0.0538939427
6	6	0	0.0646727312
7	6	0	0.0754515198
8	7	0	0.0862303083
9	8	0	0.0970090969
10	8	0	0.107787885
11	9	0	0.118566674
12	9	0	0.129345462
13	10	0	0.140124251
14	11	0	0.15090304
15	11	0	0.161681828
16	12	0	0.172460617
17	13	0	0.183239405
18	13	0	0.194018194
19	14	0	0.204796982
20	15	0	0.215575771
21	15	0	0.226354559
22	16	0	0.237133348
23	16	0	0.247912136
24	17	0	0.258690925
25	18	0	0.269469714
26	18	0	0.280248502
27	19	0	0.291027291
28	19	0	0.301806079
29	20	0	0.312584868
30	20	0	0.323363656
31	21	0	0.334142445
32	21	0	0.344921233
33	22	0	0.355700022
34	23	0	0.36647881
35	23	0	0.377257599
36	24	0	0.388036387
37	24	0	0.398815176
38	25	0	0.409593965
39	25	0	0.420372753
40	26	0	0.431151542
41	26	0	0.44193033
42	27	0	0.452709119
43	27	0	0.463487907
44	28	0	0.474266696
45	29	0	0.485045484
46	29	0	0.495824273
47	30	0	0.506603061
48	30	0	0.51738185
49	31	0	0.528160638
50	31	0	0.538939427
51	32	0	0.549718216
52	32	0	0.560497004
53	33	0	0.571275793
54	33	0	0.582054581
55	34	0	0.59283337
56	34	0	0.603612158
57	35	0	0.614390947
58	35	0	0.625169735
59	36	0	0.635948524
60	36	0	0.646727312
61	37	0	0.657506101
62	37	0	0.66828489
63	38	0	0.679063678
64	38	0	0.689842467
65	39	0	0.700621255
66	39	0	0.711400044
67	40	0	0.722178832
68	40	0	0.732957621
69	41	0	0.743736409
70	41	0	0.754515198
71	42	0	0.765293986
72	43	0	0.776072775
73	43	0	0.786851563
74	44	0	0.797630352
75	44	0	0.808409141
76	45	0	0.819187929
77	45	0	0.829966718
78	46	0	0.840745506
79	46	0	0.851524295
80	47	0	0.862303083
81	47	0	0.873081872
82	48	0	0.88386066
83	48	0	0.894639449
84	49	0	0.905418237
85	49	0	0.916197026
86	49	0	0.926975814
87	50	0	0.937754603
88	50	0	0.948533392
89	51	0	0.95931218
90	51	0	0.970090969
91	52	0	0.980869757
92	52	0	0.991648546
93	53	0	1.00242733
